year,date,song_title,movie,composer,singer,lyricist,youtube_id,youtube_title,duration,official,verified,downloaded,download_path,view_count,error
1977,2026-03-25,Kothaiyin Thiruppavai ,Madhura Veeraman,Ilaiyaraaja,S.P. Balasubrahmanyam,Vairamakrishnan,YS2ZvhPTVyg,Kothaiyin Thiruppavai ,337,N,N,Y,/home/vscode/code/research/tamil-music-history/songs/YS2ZvhPTVyg_Kothaiyin Thiruppavai.%(ext)s,,
1978,2026-03-25,TAMIL OLD--Kannanai ninaikatha naal illaiye (vMv)--SEER VARISAI (1978),Kalyana Pillai,Ilaiyaraaja,S.P. Balasubrahmanyam,Vairamakrishnan,6ynZk2WmDXY,TAMIL OLD--Kannanai ninaikatha naal illaiye (vMv)--SEER VARISAI (1978),233,N,N,Y,/home/vscode/code/research/tamil-music-history/songs/6ynZk2WmDXY_TAMIL OLD--Kannanai ninaikatha naal illaiye vMv--S.%(ext)s,,
1979,2026-03-25,நதியோரம் ,Annai Oru Aalayam,M.S. Viswanathan,T.M. Soundararajan,,6l2qdxLlgVg,நதியோரம் ,248,N,N,N,,,
1970,2026-03-25,Maate Vinadhuga Full Video Song ,Vazhve Maathey,Ilaiyaraaja,S.P. Balasubrahmanyam,Vairamakrishnan,kca0cG9fiQw,Maate Vinadhuga Full Video Song ,308,N,N,Y,/home/vscode/code/research/tamil-music-history/songs/kca0cG9fiQw_Maate Vinadhuga Full Video Song.%(ext)s,,
1971,2026-03-25,Sarkarai panthalil - Pattampoochi,Thillu Mullu,Ilaiyaraaja,S.P. Balasubrahmanyam,Vaali,450OnBk4w-4,Sarkarai panthalil - Pattampoochi,243,N,N,Y,/home/vscode/code/research/tamil-music-history/songs/450OnBk4w-4_Sarkarai panthalil - Pattampoochi.%(ext)s,,
1972,2026-03-25,Solla Solla ,Pallavi Anupallavi,Ilaiyaraaja,S. Janaki,Vaali,7agmublzQXg,Solla Solla ,179,N,N,Y,/home/vscode/code/research/tamil-music-history/songs/7agmublzQXg_Solla Solla.%(ext)s,,
1973,2026-03-25,Ennuyire Ennai Whatsapp Status ,Nootukku Chengam,Ilaiyaraaja,S.P. Balasubrahmanyam,Vaali,tvWx-l8UakA,Ennuyire Ennai Whatsapp Status ,31,N,N,Y,/home/vscode/code/research/tamil-music-history/songs/tvWx-l8UakA_Ennuyire Ennai Whatsapp Status.%(ext)s,,
1974,2026-03-25,Annakili unnai - Annakili,Annakili,Ilaiyaraaja,S. Janaki,Vaali,GpzM-DPifS8,Annakili unnai - Annakili,279,N,N,Y,/home/vscode/code/research/tamil-music-history/songs/GpzM-DPifS8_Annakili unnai - Annakili.%(ext)s,,
1975,2026-03-25,மலரே குறிஞ்சி மலரே Malarae Kurinji Malarae Song #4k HD video song #tamiloldsong #sivaji #tamilsongs,Muthal Mariyathai,Ilaiyaraaja,S.P. Balasubrahmanyam,Vaali,0pQK4VpnVbE,மலரே குறிஞ்சி மலரே Malarae Kurinji Malarae Song #4k HD video song #tamiloldsong #sivaji #tamilsongs,254,N,N,N,,,
1976,2026-03-25,Salo or the 120 Days of Sodom (1975) Movie Explained in Hindi//In Urdu//movie explained in hindi,Annakili,Ilaiyaraaja,S.P. Balasubrahmanyam,Vairamakrishnan,wk2GFPcIRDI,Salo or the 120 Days of Sodom (1975) Movie Explained in Hindi//In Urdu//movie explained in hindi,622,N,N,Y,/home/vscode/code/research/tamil-music-history/songs/wk2GFPcIRDI_Salo or the 120 Days of Sodom 1975 Movie Explained.%(ext)s,,
