clip_id,song_title,movie,year,decade,composer,singer,umap_1,umap_2
8T7WQrcyE9s_clip,Maan Karate Un Vizhigalil Video Anirudh Sivakarthikeyan,I,2014,2010,A.R. Rahman,A.R. Rahman; Others,0.61564064,5.8328414
8XHwrH9Br58_clip,Nee Thoongum Nearathil tamil Video Song Manasellam Srikanth Trisha Ilayaraja,I,2003,2000,A.R. Rahman,A.R. Rahman; Others,0.51415265,4.6682005
8YqwQ_eAmdk_clip,Kanmunne Ethanai Nilavu Song with Lyrics Dhanush Yuvan Shankar Raja Timmy Pa. Vi,I,2001,2000,A.R. Rahman,A.R. Rahman; Others,2.04082,5.425007
8eYG5QGZAZs_clip,Jawan,Jawan,2023,2020,Anirudh,Anirudh,1.9543709,6.13949
8fE3r0_NjiQ_clip,"Malargale Song Pudhukottaiyilirundhu Saravanan Dhanush, Yuvan Shankar Raja",I,2004,2000,A.R. Rahman,A.R. Rahman; Others,1.5379263,3.246421
8kKReFhsTaY_clip,Jingunamani Song Jilla Tamil Songs Vijay Mohanlal Kajal Aggarwal Imman Star Musi,I,2013,2010,A.R. Rahman,A.R. Rahman; Others,3.224815,3.1730585
93cGwdghkvM_clip,Kulla Nari Kootam Vizhigalile Tamil Video Viishnu VIishal,I,2011,2010,A.R. Rahman,A.R. Rahman; Others,0.93113995,4.9532003
93iK4wNij8E_clip,Vaaranam Aayiram Mundhinam Video Song Harris Jayaraj Suriya Simran,I,2000,2000,A.R. Rahman,A.R. Rahman; Others,0.3675639,5.2787466
97o5LirQZMM_clip,Ninaithale Inikkum Pia.. Pia.. Video Vijay Antony,I,2009,2000,A.R. Rahman,A.R. Rahman; Others,3.7112782,3.3289673
9H4pjWE5TQ0_clip,Rosappu Chinna Rosappu (Sarath Kumar) Tamil Video Song Suryavamsam,I,1997,1990,A.R. Rahman,A.R. Rahman; Others,2.6315072,3.1396291
9hbe7-E8xqI_clip,கோ என்னமோ ஏதோ தமிழ் பாடல்வரிகள் ஜீவா,,2010,2010,,,0.9437761,5.236785
9iX4HQeW1aM_clip,Anegan Roja Kadale Video Dhanush Harris Jayaraj,Roja,2014,2010,A.R. Rahman,S.P. Balasubrahmanyam; K.S. Chithra,2.5406682,3.7159028
9xnBPs7nPek_clip,July Malargale 4K Video Song ஜூலை மலர்களே Bagavathi Vijay Reema Sen Deva,I,2002,2000,A.R. Rahman,A.R. Rahman; Others,2.1711369,4.2074065
A0BPkm95-dc_clip,Subramaniapuram Kangal Irandal Video James Jai,I,2007,2000,A.R. Rahman,A.R. Rahman; Others,-0.0686313,4.543836
ABUOwTuuW94_clip,"Mehandi Circus Kodi Aruvi Video Song Sean Roldan Ranga, Shweta Tripathi Saravana",I,2019,2010,A.R. Rahman,A.R. Rahman; Others,2.554454,4.3338013
AIClmChJ_wQ_clip,Mascara Pottu Video Song Salim Vijay Antony Supriya joshi மஸ்காரா சலீம் Tamil HD,I,2013,2010,A.R. Rahman,A.R. Rahman; Others,4.241577,4.1643615
ATElufr0OiE_clip,"Darbuka Siva, Sid Sriram Title Track Video Darbuka Siva Sid Sriram Thamarai",I,2022,2020,A.R. Rahman,A.R. Rahman; Others,0.40414155,5.055542
AVO_DWuUU3k_clip,"Chinna Chinna Asai Audio Song Roja Tamil Movie Aravind Swamy,Madhubala Mani Rath",Roja,1992,1990,A.R. Rahman,S.P. Balasubrahmanyam; K.S. Chithra,2.0075715,2.4620254
Aze7zTyIRtk_clip,Aura 10 10 Music Video Meesaya Murukku 2 Hiphop Tamizha Ketika Sharma,I,2026,2020,A.R. Rahman,A.R. Rahman; Others,4.9541063,4.9119987
BEMXpgXaYPQ_clip,"Udhaya Udhaya Video Song Vijay, Simran A. R. Rahman Udhaya Tamil Movie Songs Rom",I,2003,2000,A.R. Rahman,A.R. Rahman; Others,0.14664431,4.0555425
BMG47McDY2g_clip,"ENAKKENA PIRANDHAVA KIZHAKKU KARAI LYRICS VIDEO SPB, CHITRA VIJAY MUSICALS",I,1991,1990,A.R. Rahman,A.R. Rahman; Others,3.5555048,3.9417536
BQE2hrC_gFo_clip,Remo Sirikkadhey Video Song Sivakarthikeyan Anirudh Ravichander Keerthi Suresh,I,2016,2010,A.R. Rahman,A.R. Rahman; Others,2.1267786,6.1983247
BT9300S_YSo_clip,Nalam Nalamariya Aval Video Song Kadhal Kottai 1996 Ajith Kumar Devayani Tamil S,I,1996,1990,A.R. Rahman,A.R. Rahman; Others,1.0742142,2.749134
C-aeAUmP40M_clip,Kungumapoovum Konjumpuraavum Chinnan Sirisu Video Yuvanshankar,I,2009,2000,A.R. Rahman,A.R. Rahman; Others,1.8643159,3.8223248
C5moNxjz8Wc_clip,Mobila Mobila Song With Lyrics D. Imman R. Madhavan Anushka Shetty Rendu HD Audi,I,2006,2000,A.R. Rahman,A.R. Rahman; Others,3.4085155,4.979134
C8xh08RWy38_clip,Kokkara Kokkarako Audio Song Ghilli Thalapathy Vijay Trisha Vidyasagar Five Star,Ghilli,2000,2000,Vidyasagar,T.T. Manickam; Others,4.06547,3.9135382
CG-I7aNLh04_clip,AR Rahman Hit Songs Chikku Bukku Video Song Gentleman Tamil Movie Arjun Prabhu D,I,1993,1990,A.R. Rahman,A.R. Rahman; Others,3.8870697,4.4490275
CIkKddyCHIw_clip,Oorai Therinchikitten Video Song K. J. Yesudas Rajinikanth Ambika Padikkadavan,I,2000,2000,A.R. Rahman,A.R. Rahman; Others,2.6696556,1.9946449
Cs5o0Uh2pFk_clip,Varuthapadatha Vaalibar Sangam Paakaadhae Paakaadhae Video D.Imman Sivakarthikey,I,2013,2010,A.R. Rahman,A.R. Rahman; Others,3.4155786,4.4105463
CxmWzlLfFkI_clip,Vizhigalil Vizhigalil Song Thiruvilayadal Arambam Dhanush Shreya Saran D. Imman,I,2000,2000,A.R. Rahman,A.R. Rahman; Others,-0.020582035,4.509928
D3O6nOrI5Ug_clip,Saravanan Irukka Bayamaen Lalaa Kadai Saanthi Video Imman Super Hit Song,I,2017,2010,A.R. Rahman,A.R. Rahman; Others,3.8329847,4.1018963
DScFlfN9vDk_clip,"Oh My Kadavule Kadhaippoma Video Ashok Selvan, Ritika Singh Leon James",I,2018,2010,A.R. Rahman,A.R. Rahman; Others,0.35977602,5.33431
DYz-vBurkEc_clip,Nee Varum Pothu Video Song Mazhai Tamil Movie Songs HD Shriya Jayam Ravi Devi Sr,I,2003,2000,A.R. Rahman,A.R. Rahman; Others,0.91343814,3.360433
Dk585TIC8wE_clip,Pudhu Malar Thottu Video Song Poovellam Un Vaasam Tamil Movie Ajith Jyothika Vid,I,2001,2000,A.R. Rahman,A.R. Rahman; Others,2.137418,4.8554773
Dyt1jelmjY0_clip,"Sidu Sidu Video Song Romeo Vijay Antony, Mirnalini Barath Dhanasekar Vinayak Vai",I,2000,2000,A.R. Rahman,A.R. Rahman; Others,0.3614372,5.6287518
E21CJi7R9JM_clip,Enthiran,Enthiran,2010,2010,A.R. Rahman,S. Janaki,3.7490933,3.6085103
E8yFmY8uric_clip,Vizhigalil Vizhigalil Song With Lyrics Dhanush Shreya Saran Thiruvilayadal Aramb,I,2006,2000,A.R. Rahman,A.R. Rahman; Others,-0.043591876,4.413855
EHd_3S-c0Ps_clip,"Vetadu Ventadu Andham Andham Video Vishal, Trisha",I,2012,2010,A.R. Rahman,A.R. Rahman; Others,3.6563416,5.304687
ELZEqFqgvHQ_clip,"Maattrraan Kaal Mulaitha Poovae Video Suriya, Kajal Agarwal",I,2012,2010,A.R. Rahman,A.R. Rahman; Others,1.9551328,4.1423273
EQ783EHQkng_clip,Kadal Moongil Thottam Video A.R. Rahman,Kadal,2012,2010,A.R. Rahman,Mohan; Others,0.4871561,5.0589657
ESaXJTCfCP4_clip,Apple Penne Neeyaaro Video Song Roja Kootam Tamil Movie Srikanth Bhumika Chawla ,Pudhu Vasantham,2002,2000,S.V. Venkatraman,P. Susheela,2.2562687,4.1845675
Eqf6fL1MuKQ_clip,"Mannarkudi Kalakalakka Audio Song Sivappathigaram Vishal, Mamtha Vidhyasagar",I,2006,2000,A.R. Rahman,A.R. Rahman; Others,4.952786,3.8934417
F6D0Bs7v4Bg_clip,Tamil Old Songs Chinna Kannamma video song Nattukku Oru Nallavan movie Video Son,I,1991,1990,A.R. Rahman,A.R. Rahman; Others,4.0530596,3.255554
FDfMOamaUNM_clip,"Gethu Thillu Mullu Video Udhayanidhi Stalin, Amy Jackson Harris Jayaraj",Thillu Mullu,2015,2010,Ilaiyaraaja,S.P. Balasubrahmanyam,3.2779088,5.5017505
FLvxuM1_rDk_clip,Kurumugil Video Song Sita Ramam (Tamil) Dulquer Mrunal Vishal Hanu Raghavapudi,I,2022,2020,A.R. Rahman,A.R. Rahman; Others,1.9148033,3.7462068
FNLrzbv0Vdg_clip,Aadukalam Otha Sollaala Tamil Lyric Video Dhanush G.V. Prakash Kumar,I,2010,2010,A.R. Rahman,A.R. Rahman; Others,4.646705,3.9223642
FYMCM3mctxY_clip,Unnai Naan 4K Video Song உன்னை நான் Jay Jay Madhavan Amogha Bharathwaj Ayngaran,I,1995,1990,A.R. Rahman,A.R. Rahman; Others,1.4719777,4.2900186
F_BwkqecacQ_clip,Renigunta Mazhai Peyyum Video Ganesh Raghavendran,I,2009,2000,A.R. Rahman,A.R. Rahman; Others,1.0046887,4.2120223
G8xKi0ZQo6U_clip,Karutha Machan Song Pudhu Nellu Pudhu Naathu Movie Ilaiyaraaja Sukanya S Janaki,I,1991,1990,A.R. Rahman,A.R. Rahman; Others,4.1853447,3.732164
GWH_k6S7YQU_clip,"Iru Mugan Halena Video Vikram, Nayanthara Harris Jayaraj Super Hit Song",I,2016,2010,A.R. Rahman,A.R. Rahman; Others,1.7837496,5.8237886
G_UEVscPspo_clip,"Comali Hi Sonna Podhum Video Jayam Ravi, Samyuktha Hegde Hiphop Tamizha",I,2019,2010,A.R. Rahman,A.R. Rahman; Others,5.0226264,5.5125084
GeWdQfiNgzQ_clip,"Ivan Vera Mathiri Enna Marandhaen Video Vikram Prabhu, Surabhi C. Sathya",I,2013,2010,A.R. Rahman,A.R. Rahman; Others,0.2316192,3.102652
H0UDxfrKZY4_clip,Marandhu Poche Video Song With Love Abishan Jeevinth Anaswara Rajan Madhan Sean ,I,2026,2020,A.R. Rahman,A.R. Rahman; Others,2.4915602,6.1927423
H_-4gcev0KE_clip,"Raavanan Kodu Poatta Video A.R. Rahman Vikram, Aishwarya Rai",I,2000,2000,A.R. Rahman,A.R. Rahman; Others,5.5050464,4.7953324
Hclr7Hqzu_M_clip,Irava Pagala Video Song Poovellam Kettupar Tamil Movie Songs Suriya Jyothika Yuv,I,2007,2000,A.R. Rahman,A.R. Rahman; Others,1.0806599,3.8541553
HfMTwkVQohM_clip,Full Video: Jimikki Ponnu (Tamil) Varisu Thalapathy Vijay Thaman S Vamshi Paidip,I,2022,2020,A.R. Rahman,A.R. Rahman; Others,4.087925,5.2610745
Hhpf53iyj04_clip,"Silambattam Machaan Machaan Video Song STR, Sneha Yuvanshankar Raja",I,2008,2000,A.R. Rahman,A.R. Rahman; Others,2.5329292,4.5943847
HvaaGAM-ZN0_clip,"Nadhiyae Nadhiyae Audio Song Rhythm Arjun, Meena, Jyothika A R Rahman Unni Menon",I,1990,1990,A.R. Rahman,A.R. Rahman; Others,1.5793132,4.3010373
HwtG6ch0P14_clip,Evergreen Melodies 5 Full HD Video Jukebox A.R.Rahman,I,1998,1990,A.R. Rahman,A.R. Rahman; Others,1.8434125,3.763968
IYcJu4fGIkk_clip,"ஆத்துக்கு பக்கம் Aathukku Pakkam Jeysudas ,Swarnalatha, Sogam Tamil Super Hit So",I,1991,1990,A.R. Rahman,A.R. Rahman; Others,2.3684206,2.1986153
IrndH9T5NZE_clip,வாரணம் ஆயிரம் அடியே கொல்லுதே தமிழ் பாடல்வரிகள் சூர்யா,,2008,2000,,,1.3506018,6.3347774
J1Nlw2A5qfU_clip,Kaal Mulaitha Poove 4K Video Song Maattrraan Movie Tamil Suriya Kajal Agarwal Ha,I,2012,2010,A.R. Rahman,A.R. Rahman; Others,2.033067,4.106347
JZa7U91EflE_clip,Iraivi Kadhal Kappal Video S. J. Surya Santhosh Narayanan,I,2016,2010,A.R. Rahman,A.R. Rahman; Others,2.5323217,4.739771
KWROK2DM5WA_clip,Kungumapoovum Konjumpuraavum Chinnan Sirisu Tamil Lyric Yuvanshankar Raja,I,2009,2000,A.R. Rahman,A.R. Rahman; Others,1.7834642,3.8033125
KXM7nVYIn9c_clip,Thanjavooru Mannu Eduthu Video Song Porkaalam Tamil Movie Murali Meena Deva Vair,I,1997,1990,A.R. Rahman,A.R. Rahman; Others,2.9110508,2.16887
KfUExOXxU5Q_clip,Kutty Pattas Music Video Ashwin Reba John Venki Santhosh Dhayanidhi Sandy,I,2021,2020,A.R. Rahman,A.R. Rahman; Others,4.009071,5.173357
KiEt9WQdn7A_clip,Ennai Thottu 4K Video song Unna Nenachen Pattu Padichen Karthik Ilayaraja Monish,I,2000,2000,A.R. Rahman,A.R. Rahman; Others,1.5738428,2.3938153
Ktye6k6BIKg_clip,Annai,Annai,1962,1960,M.S. Viswanathan,T.M. Soundararajan,1.2241632,1.426138
LAe6zwJojPg_clip,Aagaya Suriyanai Full Video Song 4K Samurai Tamil Movie Songs Vikram Tamil Hits ,I,2002,2000,A.R. Rahman,A.R. Rahman; Others,1.4285975,3.9456887
LPGGO_QoUU8_clip,"Venghai Yenna Solla Pore Video Dhanush, Tamannah DSP",I,2011,2010,A.R. Rahman,A.R. Rahman; Others,2.6280506,6.0601416
LPWBMVviJ78_clip,Baana Thaakkuthe Kan Thaakkuthe Video Yuvanshankar Raja,I,2010,2010,A.R. Rahman,A.R. Rahman; Others,2.521457,4.693752
LhrFFOz3ZEA_clip,Iragai Poley Official Video Song Naan Mahaan Alla Karthi Kajal Aggarwal Yuvan Sh,I,2010,2010,A.R. Rahman,A.R. Rahman; Others,1.6487876,5.69348
LwqbwL_8a3I_clip,Unnai Ninaithu Tamil Movie Pombalainga Kadhal Video Song Suriya Sneha Sirpy Pyra,I,2002,2000,A.R. Rahman,A.R. Rahman; Others,1.519172,2.0344682
M8p7vDY_Vhw_clip,Yaaradi Nee Mohini Oru Naalaikkul Video Dhanush Yuvanshankar Raja,I,2007,2000,A.R. Rahman,A.R. Rahman; Others,1.0737252,5.0727105
M9w-ZzOvTV8_clip,Desingu Raja Oru Ora Ora Parvai Song Imman,I,2013,2010,A.R. Rahman,A.R. Rahman; Others,3.1384144,4.3935404
MAa_8XwAVlA_clip,Viduthalai Part 1 Kaattumalli Video Vetri Maaran Ilaiyaraaja Soori Vijay Sethupa,Vetri,2020,2020,Viswanathan Ramamoorthy,T.M. Soundararajan,0.78258365,3.926895
Mb97sb-CIX0_clip,Eno Kangal Official Video Full HD Kalvanin Kadhali S.J.Surya Nayanthara Yuvan Sh,I,2005,2000,A.R. Rahman,A.R. Rahman; Others,2.0839207,6.1250925
MgsAMhkG7nk_clip,Aathangarai Marame Lyrical Kizhakku Cheemayilae Songs A.R.Rahaman,I,1993,1990,A.R. Rahman,A.R. Rahman; Others,2.2514176,2.1441102
Ml5smnK5Taw_clip,"Vanakkam Chennai Osaka Osaka Video Song Shiva, Priya Anand Anirudh Ravichander",I,2013,2010,A.R. Rahman,A.R. Rahman; Others,3.6365242,4.1610317
MmvpbLdaIRs_clip,"Mersal Maacho Tamil Video Vijay, Kajal Aggarwal A.R. Rahman",I,2017,2010,A.R. Rahman,A.R. Rahman; Others,4.3397775,5.292148
